Wavelength nm.,MiliQ,CC3_BOT_freezetest,CC3_01_freezetest,CS1_01_freezetest,chla50mL_dil_s4,Chla100_1000mL_s5,soil_dil_s6,leaf_dilS7,leaf_dilS8
472,0,0.002,0.001,0.005,0.002,0.003,0.012,0.006,0.002
473,0,0.002,0.001,0.005,0.002,0.003,0.012,0.006,0.002
474,0,0.001,0.001,0.005,0.002,0.003,0.012,0.006,0.002
475,0,0.001,0.001,0.005,0.002,0.003,0.011,0.006,0.002
476,0,0.001,0.001,0.004,0.002,0.003,0.011,0.006,0.002
477,0,0.001,0.001,0.004,0.002,0.002,0.011,0.006,0.002
478,0,0.001,0.001,0.004,0.002,0.002,0.011,0.006,0.002
479,0,0.001,0.001,0.004,0.002,0.002,0.011,0.006,0.002
480,0,0.001,0.001,0.004,0.002,0.002,0.011,0.006,0.002
481,0,0.001,0.001,0.004,0.002,0.002,0.011,0.006,0.002
482,0,0.001,0.001,0.004,0.002,0.002,0.011,0.006,0.002
483,0,0.001,0.001,0.004,0.002,0.002,0.011,0.005,0.002
484,0,0.001,0.001,0.004,0.002,0.002,0.011,0.005,0.002
485,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
486,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
487,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
488,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
489,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
490,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
491,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
492,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
493,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
494,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
495,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
496,0,0.001,0.001,0.004,0.002,0.002,0.01,0.005,0.002
497,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.002
498,0,0.001,0.001,0.004,0.002,0.002,0.009,0.004,0.002
499,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.002
500,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.002
501,0,0.001,0.001,0.004,0.002,0.002,0.009,0.004,0.002
502,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.002
503,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
504,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
505,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
506,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
507,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
508,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
509,0,0.001,0.001,0.004,0.001,0.002,0.009,0.004,0.001
510,0,0.001,0.001,0.004,0.001,0.002,0.008,0.004,0.001
511,0,0.001,0.001,0.004,0.001,0.002,0.008,0.004,0.001
512,0,0.001,0.001,0.004,0.001,0.002,0.008,0.004,0.001
513,0,0.001,0.001,0.004,0.001,0.002,0.008,0.004,0.001
514,0,0.001,0.001,0.004,0.001,0.001,0.008,0.004,0.001
515,0,0.001,0.001,0.004,0.001,0.002,0.008,0.004,0.001
516,0,0.001,0.001,0.004,0.001,0.001,0.008,0.004,0.001
517,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
518,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
519,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
520,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
521,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
522,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
523,0,0.001,0.001,0.004,0.001,0.001,0.008,0.003,0.001
524,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
525,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
526,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
527,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
528,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
529,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
530,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
531,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
532,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
533,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
534,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
535,0,0.001,0.001,0.004,0.001,0.001,0.007,0.003,0.001
536,0.001,0.002,0.002,0.005,0.002,0.002,0.008,0.003,0.002
537,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
538,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
539,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
540,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
541,0,0.001,0.001,0.004,0.001,0.001,0.007,0.002,0.001
542,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
543,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
544,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
545,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
546,0,0.001,0.001,0.003,0.001,0.001,0.006,0.002,0.001
547,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
548,0,0.001,0.001,0.003,0.001,0.001,0.006,0.002,0.001
549,0,0.001,0.001,0.003,0.001,0.001,0.006,0.002,0.001
550,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
551,0,0.001,0.001,0.003,0.001,0.001,0.006,0.002,0.001
552,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
553,0,0.001,0.001,0.004,0.001,0.001,0.006,0.002,0.001
554,0,0.001,0.001,0.003,0.001,0.001,0.006,0.002,0.001
555,0,0.001,0.001,0.003,0.001,0.001,0.006,0.002,0.001
