,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
677,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
678,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
679,0,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
680,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
681,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
682,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
683,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
684,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
685,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
686,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
687,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
688,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
689,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
690,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
691,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.045,0.045,10.3635,2.338290018,,0.007,0.007,3.2242,1.170684857,
692,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.045,0.045,10.3635,2.338290018,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
693,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
694,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
695,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
696,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
697,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
698,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
699,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
700,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
701,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.044,0.044,10.1332,2.315817162,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
702,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
703,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
704,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
705,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
706,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
707,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
708,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
709,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.044,0.044,10.1332,2.315817162,,0.007,0.007,3.2242,1.170684857,
710,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
711,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
712,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
713,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
714,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
715,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.043,0.043,9.9029,2.292827644,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
716,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
717,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
718,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
719,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
720,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
721,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
722,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
723,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
724,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.002,-0.002,-0.9212,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
725,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
726,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
727,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
728,0,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.042,0.042,9.6726,2.269297146,,0.009,0.009,4.1454,1.421999286,,-0.001,-0.001,-0.2303,#NUM!,,-0.003,-0.003,-1.3818,#NUM!,,-0.003,-0.003,-0.6909,#NUM!,,-0.004,-0.004,-1.8424,#NUM!,,0.043,0.043,9.9029,2.292827644,,0.007,0.007,3.2242,1.170684857,
