,Blank,F22Jul19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Jul19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
278,0,0.075,0.075,17.2725,2.849115641,,0.039,0.039,17.9634,2.888336355,,0.04,0.04,9.212,2.220506982,,0.096,0.096,22.1088,3.095975719,,0.045,0.045,20.727,3.031437198,
279,0,0.074,0.074,17.0422,2.835692621,,0.038,0.038,17.5028,2.862360868,,0.04,0.04,9.212,2.220506982,,0.096,0.096,22.1088,3.095975719,,0.045,0.045,20.727,3.031437198,
280,0,0.073,0.073,16.8119,2.822086969,,0.038,0.038,17.5028,2.862360868,,0.04,0.04,9.212,2.220506982,,0.095,0.095,21.8785,3.085504419,,0.045,0.045,20.727,3.031437198,
281,0,0.072,0.072,16.5816,2.808293647,,0.038,0.038,17.5028,2.862360868,,0.039,0.039,8.9817,2.195189174,,0.095,0.095,21.8785,3.085504419,,0.044,0.044,20.2664,3.008964342,
282,0,0.072,0.072,16.5816,2.808293647,,0.037,0.037,17.0422,2.835692621,,0.039,0.039,8.9817,2.195189174,,0.094,0.094,21.6482,3.07492231,,0.044,0.044,20.2664,3.008964342,
283,0,0.071,0.071,16.3513,2.794307405,,0.037,0.037,17.0422,2.835692621,,0.038,0.038,8.7514,2.169213688,,0.093,0.093,21.4179,3.064227021,,0.044,0.044,20.2664,3.008964342,
284,0,0.07,0.07,16.121,2.78012277,,0.036,0.036,16.5816,2.808293647,,0.038,0.038,8.7514,2.169213688,,0.093,0.093,21.4179,3.064227021,,0.044,0.044,20.2664,3.008964342,
285,0,0.069,0.069,15.8907,2.765734032,,0.036,0.036,16.5816,2.808293647,,0.038,0.038,8.7514,2.169213688,,0.092,0.092,21.1876,3.053416105,,0.043,0.043,19.8058,2.985974824,
286,0,0.068,0.068,15.6604,2.751135233,,0.035,0.035,16.121,2.78012277,,0.037,0.037,8.5211,2.14254544,,0.092,0.092,21.1876,3.053416105,,0.043,0.043,19.8058,2.985974824,
287,0,0.067,0.067,15.4301,2.736320147,,0.035,0.035,16.121,2.78012277,,0.037,0.037,8.5211,2.14254544,,0.091,0.091,20.9573,3.042487034,,0.043,0.043,19.8058,2.985974824,
