Wavelength,MilliQ,MilliQ_2,MilliQ_3,C19nov21_CCT_r1,MilliQ_4_newcuvette,C19nov21_1.5m,C19nov21_21m,C19nov21_SMB,C19nov21_9m,C19nov21_TCT,C19nov21_0.1m,C19nov21_HPB,C19nov21_6m
419,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.003,0.011,0.004
420,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.005,0.003,0.011,0.004
421,0,0,0,0.015,-0.001,0.007,0.002,0.007,0.003,0.004,0.003,0.011,0.004
422,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.011,0.004
423,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.011,0.004
424,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.011,0.004
425,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.01,0.004
426,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.01,0.004
427,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.01,0.004
428,0,0,0,0.015,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.01,0.004
429,0,0,0,0.014,-0.001,0.006,0.002,0.007,0.003,0.004,0.003,0.01,0.004
430,0,0,0,0.014,-0.001,0.006,0.002,0.006,0.003,0.004,0.003,0.01,0.004
431,0,0,0,0.014,-0.001,0.006,0.002,0.006,0.003,0.004,0.003,0.01,0.004
432,0,0,0,0.015,-0.001,0.006,0.002,0.006,0.003,0.004,0.003,0.01,0.004
