Wavelength,MilliQ,C23sep21_CCT_r1,C23sep21_20m_r2,C23sep21_SMB_r1,C23sep21_0.1m_r2,C23sep21_HPB_r2,C23sep21_9m_r1,C23sep21_TCT_r2
555,0,0.031,0.003,0.003,0,0.008,0,0.021
556,0,0.031,0.003,0.003,0,0.008,0,0.021
557,0,0.031,0.003,0.003,0,0.008,0,0.021
558,0,0.031,0.003,0.003,0,0.008,0,0.021
559,0,0.031,0.003,0.003,0,0.008,0,0.021
560,0,0.031,0.003,0.003,0,0.008,0,0.021
561,0,0.031,0.003,0.003,0,0.008,0,0.021
562,0,0.031,0.003,0.003,0,0.008,0,0.021
563,0,0.031,0.003,0.003,0,0.008,0,0.021
564,0,0.031,0.003,0.003,0,0.008,0,0.021
565,0,0.031,0.003,0.003,0,0.008,0,0.021
566,0,0.031,0.003,0.003,0,0.008,0,0.021
567,0,0.031,0.003,0.003,0,0.008,0,0.021
568,0,0.031,0.003,0.003,0,0.008,0,0.021
569,0,0.031,0.003,0.003,0,0.008,0,0.02
570,0,0.031,0.003,0.003,0,0.008,0,0.021
571,0,0.031,0.003,0.003,0,0.008,0,0.021
572,0,0.031,0.003,0.003,0,0.008,0,0.021
573,0,0.031,0.003,0.003,0,0.008,0,0.021
574,0,0.031,0.003,0.003,0,0.008,0,0.02
575,0,0.031,0.003,0.003,0,0.008,0,0.02
576,0,0.031,0.003,0.003,0,0.008,0,0.02
577,0,0.031,0.003,0.003,0,0.008,0,0.02
578,0,0.031,0.003,0.003,0,0.008,0,0.02
579,0,0.031,0.003,0.003,0,0.008,0,0.02
580,0,0.031,0.003,0.003,0,0.008,0,0.02
581,0,0.031,0.003,0.003,0,0.008,0,0.02
582,0,0.031,0.003,0.003,0,0.007,0,0.02
583,0,0.031,0.003,0.003,0,0.007,0,0.02
584,0,0.031,0.003,0.003,0,0.007,0,0.02
585,0,0.031,0.003,0.003,0,0.008,0,0.02
586,0,0.031,0.003,0.003,0,0.008,0,0.02
587,0,0.031,0.003,0.003,0,0.007,0,0.02
588,0,0.031,0.003,0.003,0,0.007,0,0.02
589,0,0.031,0.003,0.003,0,0.007,0,0.02
590,0,0.031,0.003,0.003,0,0.007,0,0.02
591,0,0.031,0.003,0.003,0,0.007,0,0.02
592,0,0.031,0.003,0.003,0,0.007,0,0.02
593,0,0.031,0.003,0.003,0,0.007,0,0.02
594,0,0.031,0.003,0.003,0,0.007,0,0.02
595,0,0.032,0.003,0.003,0,0.007,0,0.02
596,0,0.031,0.003,0.003,0,0.007,0,0.02
597,0,0.031,0.002,0.003,0,0.007,0,0.02
