Wavelength nm.,MilliQ,C50_30sep24_01R1,C50_17feb25_15R1,CP2_15aug24_01R1,C50_28oct24_01R1,CP1_17feb25_01R1,C50_28oct24_6R1,C50_30sep24_15R1,CP1_17feb25_BOTR1,C50_30sep24_9R1,C50_30sep24_6R1,C50_28oct24_15R1,CC3_17feb25_01R2,C50_30sep24_20R1,C50_17feb25_01R1
362,0,0.009,0.017,0.015,0.008,0.009,0.01,0.006,0.01,0.01,0.01,0.009,0.009,0.007,0.009
363,0,0.008,0.016,0.014,0.008,0.009,0.01,0.006,0.01,0.01,0.01,0.008,0.009,0.007,0.009
364,0,0.008,0.016,0.015,0.008,0.009,0.01,0.006,0.01,0.01,0.01,0.008,0.009,0.006,0.009
365,0,0.008,0.016,0.014,0.008,0.009,0.009,0.005,0.01,0.01,0.009,0.008,0.009,0.006,0.009
366,0,0.008,0.016,0.014,0.008,0.009,0.009,0.006,0.01,0.01,0.009,0.008,0.009,0.006,0.009
367,0,0.008,0.016,0.014,0.008,0.009,0.009,0.005,0.01,0.01,0.009,0.008,0.009,0.006,0.009
368,0,0.008,0.015,0.014,0.008,0.008,0.009,0.005,0.009,0.009,0.009,0.007,0.008,0.006,0.008
369,0,0.008,0.015,0.014,0.007,0.008,0.009,0.005,0.009,0.009,0.009,0.007,0.008,0.006,0.008
370,0,0.008,0.015,0.013,0.007,0.008,0.009,0.005,0.009,0.009,0.009,0.007,0.008,0.006,0.008
371,0,0.008,0.015,0.013,0.007,0.008,0.009,0.005,0.009,0.009,0.009,0.007,0.008,0.006,0.008
372,0,0.008,0.015,0.013,0.007,0.008,0.008,0.005,0.009,0.009,0.008,0.007,0.008,0.006,0.008
373,0,0.007,0.015,0.013,0.007,0.008,0.008,0.005,0.009,0.009,0.009,0.007,0.008,0.005,0.008
374,0,0.007,0.014,0.013,0.007,0.008,0.008,0.005,0.009,0.008,0.008,0.006,0.007,0.005,0.008
375,0,0.007,0.014,0.013,0.007,0.007,0.008,0.005,0.009,0.008,0.008,0.007,0.007,0.005,0.008
