Wavelenght,MilliQ,C14oct22_6m_r1,C14oct22_1_5m_r1,C29sep22_1_5m_r2,C14oct22_6m_r2,C29sep22_SMB_r1,C14oct22_SMB_r1,C14oct22_9m_r1,C29sep22_CCS_r2,C29sep22_0_1m_r2
487,0.001,0.003,0.004,0.002,0.004,0.003,0.006,0.027,0.004,0.002
488,0.001,0.003,0.003,0.002,0.004,0.003,0.006,0.027,0.004,0.002
489,0,0.003,0.003,0.002,0.004,0.003,0.006,0.027,0.004,0.002
490,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
491,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
492,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
493,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
494,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
495,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
496,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
497,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
498,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
499,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
500,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
501,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
502,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
503,0,0.002,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
504,0,0.003,0.003,0.002,0.004,0.003,0.006,0.026,0.004,0.002
