Wavelength nm.,MilliQ,CS1_15aug24_01r1,CC3_15aug24_15r2,CC4_15aug24_6r2,CC4_15aug24_01r2,CP2_15aug24_01r2,CC3_15aug24_BOTr1,CC2_15aug24_BOTr1,CC4_15aug24_6r1,CS2_15aug24_01r1,CC4_15aug24_15r1,CC3_15aug24_01r2,CC2_15aug24_01r2,CS1_15aug24_01r2
370,0,0.017,0.006,0.006,0.004,0.015,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.012
371,0,0.016,0.006,0.006,0.004,0.014,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.012
372,0,0.016,0.006,0.006,0.004,0.014,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.012
373,0,0.016,0.006,0.006,0.004,0.014,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.012
374,0,0.016,0.006,0.006,0.004,0.014,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.012
375,0,0.016,0.006,0.006,0.004,0.014,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.012
376,0,0.016,0.006,0.005,0.004,0.014,0.009,0.005,0.006,0.012,0.005,0.005,0.005,0.011
377,0,0.015,0.006,0.005,0.004,0.014,0.009,0.005,0.006,0.011,0.005,0.005,0.005,0.011
378,0.001,0.015,0.006,0.005,0.004,0.013,0.009,0.005,0.005,0.011,0.005,0.005,0.005,0.011
379,0.001,0.015,0.006,0.005,0.003,0.013,0.009,0.005,0.005,0.011,0.004,0.004,0.005,0.011
380,0,0.015,0.006,0.005,0.003,0.013,0.008,0.005,0.005,0.011,0.004,0.004,0.005,0.01
381,0.001,0.015,0.006,0.005,0.003,0.013,0.009,0.005,0.005,0.011,0.005,0.004,0.004,0.011
382,0,0.014,0.005,0.005,0.003,0.013,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.01
383,0,0.014,0.005,0.005,0.003,0.012,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.01
384,0.001,0.014,0.005,0.005,0.003,0.012,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.01
385,0,0.014,0.005,0.005,0.003,0.012,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.01
386,0,0.014,0.005,0.005,0.003,0.012,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.009
387,0,0.013,0.005,0.004,0.003,0.012,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.009
388,0,0.013,0.005,0.005,0.003,0.012,0.008,0.004,0.005,0.01,0.004,0.004,0.004,0.009
389,0,0.013,0.005,0.004,0.003,0.012,0.008,0.004,0.005,0.009,0.004,0.004,0.004,0.009
390,0,0.013,0.005,0.004,0.003,0.011,0.008,0.004,0.004,0.009,0.004,0.004,0.004,0.009
391,0,0.012,0.005,0.004,0.003,0.011,0.008,0.004,0.004,0.009,0.004,0.003,0.004,0.008
392,0,0.012,0.005,0.004,0.003,0.011,0.008,0.004,0.004,0.009,0.003,0.003,0.004,0.008
393,0,0.012,0.005,0.004,0.003,0.011,0.008,0.003,0.004,0.009,0.003,0.003,0.004,0.008
394,0,0.012,0.005,0.004,0.003,0.011,0.008,0.004,0.004,0.009,0.003,0.003,0.004,0.008
395,0,0.012,0.005,0.004,0.003,0.011,0.008,0.004,0.004,0.009,0.003,0.003,0.004,0.008
396,0,0.012,0.005,0.004,0.003,0.011,0.008,0.004,0.004,0.008,0.003,0.003,0.004,0.008
397,0,0.012,0.004,0.004,0.003,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.008
398,0,0.011,0.004,0.004,0.003,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.008
399,0,0.011,0.004,0.004,0.002,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.008
400,0,0.011,0.004,0.004,0.002,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.007
401,0,0.011,0.004,0.004,0.002,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.007
402,0,0.011,0.004,0.004,0.002,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.007
403,0,0.011,0.004,0.004,0.002,0.01,0.007,0.003,0.004,0.008,0.003,0.003,0.003,0.007
404,0,0.011,0.004,0.003,0.002,0.009,0.007,0.003,0.004,0.007,0.003,0.003,0.003,0.007
405,0,0.011,0.004,0.003,0.002,0.009,0.007,0.003,0.004,0.007,0.003,0.003,0.003,0.007
406,0,0.01,0.004,0.003,0.002,0.009,0.007,0.003,0.004,0.007,0.003,0.003,0.003,0.007
407,0,0.01,0.004,0.003,0.002,0.009,0.007,0.003,0.003,0.007,0.003,0.003,0.003,0.007
408,0,0.01,0.004,0.003,0.002,0.009,0.007,0.003,0.003,0.007,0.003,0.003,0.003,0.007
409,0,0.01,0.004,0.003,0.002,0.009,0.007,0.003,0.004,0.007,0.003,0.003,0.003,0.006
410,0,0.01,0.004,0.003,0.002,0.009,0.007,0.003,0.003,0.007,0.003,0.003,0.003,0.006
411,0,0.01,0.004,0.003,0.002,0.009,0.006,0.003,0.003,0.007,0.003,0.003,0.003,0.006
412,0,0.01,0.004,0.003,0.002,0.008,0.006,0.003,0.003,0.007,0.003,0.003,0.003,0.006
