Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
337,0.001,0.017,0.016,0.015,0.013,0.014,0.016,0.014,0.013,0.013,0.014,0.013,0.012
338,0.001,0.016,0.016,0.015,0.013,0.014,0.016,0.014,0.013,0.013,0.014,0.013,0.012
339,0.001,0.016,0.016,0.015,0.013,0.014,0.015,0.014,0.013,0.013,0.013,0.013,0.012
340,0.002,0.017,0.017,0.016,0.014,0.015,0.016,0.015,0.014,0.014,0.015,0.014,0.013
341,0.001,0.016,0.015,0.015,0.012,0.013,0.015,0.013,0.012,0.012,0.013,0.013,0.012
342,0.001,0.015,0.015,0.014,0.012,0.013,0.014,0.012,0.011,0.012,0.012,0.012,0.011
343,0.001,0.015,0.015,0.014,0.011,0.012,0.014,0.012,0.011,0.012,0.012,0.012,0.011
344,0.001,0.014,0.014,0.014,0.011,0.012,0.014,0.012,0.011,0.011,0.012,0.011,0.011
345,0.001,0.014,0.014,0.014,0.011,0.012,0.013,0.012,0.011,0.011,0.012,0.011,0.01
346,0.001,0.014,0.014,0.013,0.011,0.012,0.013,0.011,0.011,0.01,0.011,0.011,0.01
347,0.001,0.013,0.013,0.013,0.01,0.011,0.013,0.011,0.011,0.01,0.011,0.01,0.01
348,0.001,0.013,0.013,0.013,0.01,0.012,0.013,0.011,0.01,0.01,0.011,0.01,0.01
349,0.001,0.013,0.013,0.013,0.01,0.011,0.013,0.011,0.011,0.01,0.011,0.01,0.01
350,0.001,0.013,0.013,0.013,0.01,0.011,0.012,0.011,0.01,0.01,0.011,0.01,0.009
351,0.001,0.013,0.012,0.013,0.01,0.011,0.012,0.011,0.01,0.01,0.011,0.01,0.009
352,0.001,0.013,0.013,0.012,0.01,0.011,0.012,0.011,0.01,0.01,0.011,0.01,0.009
353,0.001,0.012,0.012,0.012,0.009,0.011,0.012,0.01,0.01,0.009,0.01,0.009,0.009
354,0.001,0.012,0.012,0.012,0.009,0.01,0.012,0.01,0.01,0.009,0.01,0.009,0.009
355,0.001,0.012,0.012,0.012,0.009,0.01,0.012,0.01,0.009,0.009,0.01,0.009,0.009
356,0.001,0.012,0.012,0.012,0.009,0.01,0.011,0.01,0.009,0.009,0.01,0.009,0.008
357,0.001,0.012,0.012,0.012,0.009,0.01,0.011,0.009,0.009,0.009,0.009,0.009,0.008
