Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
378,-0.003,0.003,0.012,0.002,0.007,0.004,0.005,0.001,0.002,0.006,0.001
379,-0.003,0.003,0.012,0.002,0.007,0.004,0.005,0.001,0.002,0.006,0.001
380,-0.003,0.003,0.012,0.002,0.007,0.004,0.005,0.001,0.002,0.006,0.001
381,-0.003,0.003,0.012,0.002,0.007,0.003,0.004,0.001,0.002,0.006,0.001
382,-0.003,0.003,0.012,0.002,0.006,0.003,0.004,0.001,0.002,0.006,0.001
383,-0.003,0.003,0.012,0.002,0.006,0.003,0.004,0.001,0.002,0.006,0.001
384,-0.003,0.002,0.012,0.002,0.006,0.003,0.004,0.001,0.002,0.006,0.001
385,-0.003,0.002,0.011,0.002,0.006,0.003,0.004,0.001,0.002,0.006,0.001
386,-0.003,0.003,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.006,0.001
387,-0.002,0.002,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
388,-0.002,0.002,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
389,-0.002,0.002,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
390,-0.002,0.002,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
391,-0.002,0.002,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
392,-0.002,0.002,0.011,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
393,-0.002,0.002,0.01,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
394,-0.002,0.002,0.01,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
395,-0.002,0.002,0.01,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
396,-0.002,0.002,0.01,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
397,-0.002,0.002,0.01,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
398,-0.002,0.002,0.01,0.001,0.006,0.003,0.004,0.001,0.002,0.005,0.001
399,-0.002,0.002,0.01,0.001,0.006,0.003,0.003,0.001,0.002,0.005,0.001
400,-0.002,0.002,0.01,0.001,0.006,0.003,0.003,0.001,0.002,0.005,0.001
401,-0.002,0.002,0.01,0.001,0.005,0.003,0.003,0,0.001,0.005,0.001
402,-0.002,0.002,0.01,0.001,0.006,0.003,0.003,0.001,0.002,0.005,0.001
403,-0.002,0.002,0.01,0.001,0.005,0.003,0.003,0,0.002,0.005,0.001
404,-0.002,0.002,0.01,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0.001
405,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0.001
406,-0.002,0.002,0.009,0.001,0.006,0.003,0.003,0.001,0.002,0.005,0.001
407,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0.001
408,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0.001
409,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
410,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.001,0.004,0.001
411,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.001,0.004,0
412,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
413,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0
414,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0.001
415,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.004,0.001
416,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0.001
417,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0.001
418,-0.002,0.002,0.009,0.001,0.005,0.003,0.003,0.001,0.002,0.005,0
