Wavelength nm.,MilliQ,C50_11jul24_6R2,C50_11jul24_20R2,C50_15aug24_15R2,C50_11jul24_01R1,C50_16sep24_6R2,C50_16sep24_01R1,C50_11jul24_15R1,C50_16sep24_15R1,C50_15aug24_6R2,C50_16sep24_9R1,C50_15aug24_01R2,C50_15aug24_20R2,C50_16sep24_20R1,C50_11jul24_9R1,C50_15aug24_9R2
309,0,0.02,0.027,0.014,0.017,0.012,0.014,0.013,0.012,0.015,0.013,0.011,0.025,0.026,0.017,0.017
310,0,0.019,0.026,0.013,0.016,0.012,0.014,0.013,0.011,0.015,0.013,0.011,0.024,0.026,0.017,0.017
311,0.001,0.019,0.026,0.013,0.016,0.011,0.013,0.013,0.011,0.014,0.013,0.011,0.024,0.025,0.017,0.016
312,0.001,0.019,0.026,0.013,0.016,0.011,0.013,0.013,0.011,0.014,0.012,0.01,0.023,0.025,0.016,0.016
313,0.001,0.018,0.025,0.012,0.016,0.011,0.013,0.012,0.01,0.014,0.012,0.01,0.023,0.024,0.016,0.016
314,0.001,0.018,0.025,0.012,0.015,0.011,0.012,0.012,0.01,0.014,0.012,0.01,0.022,0.024,0.016,0.015
315,0,0.017,0.025,0.012,0.015,0.01,0.012,0.011,0.01,0.013,0.011,0.01,0.022,0.023,0.015,0.015
316,0,0.017,0.024,0.011,0.015,0.01,0.012,0.011,0.009,0.013,0.011,0.009,0.021,0.023,0.015,0.014
317,0,0.017,0.024,0.011,0.014,0.01,0.011,0.011,0.009,0.013,0.011,0.009,0.021,0.022,0.014,0.014
318,0,0.017,0.023,0.011,0.014,0.01,0.011,0.01,0.009,0.012,0.011,0.009,0.021,0.022,0.014,0.014
319,0,0.016,0.023,0.011,0.014,0.009,0.011,0.01,0.009,0.012,0.01,0.009,0.02,0.022,0.014,0.014
320,0,0.016,0.023,0.011,0.013,0.009,0.011,0.01,0.009,0.012,0.01,0.009,0.02,0.021,0.014,0.014
321,0,0.016,0.022,0.011,0.013,0.009,0.01,0.01,0.008,0.011,0.01,0.008,0.02,0.021,0.013,0.013
322,0,0.015,0.022,0.01,0.013,0.009,0.01,0.01,0.008,0.011,0.01,0.008,0.019,0.02,0.013,0.013
323,0,0.015,0.022,0.01,0.013,0.008,0.01,0.009,0.008,0.011,0.009,0.008,0.019,0.02,0.013,0.013
324,0,0.015,0.021,0.01,0.012,0.009,0.01,0.009,0.008,0.011,0.01,0.008,0.019,0.02,0.013,0.012
325,0,0.015,0.021,0.01,0.012,0.009,0.009,0.009,0.008,0.011,0.009,0.008,0.018,0.02,0.012,0.012
326,0.001,0.014,0.021,0.009,0.012,0.008,0.009,0.009,0.007,0.01,0.009,0.008,0.018,0.019,0.012,0.012
327,0,0.014,0.021,0.009,0.012,0.008,0.009,0.009,0.007,0.01,0.009,0.007,0.018,0.019,0.012,0.012
328,0,0.014,0.02,0.009,0.011,0.008,0.009,0.008,0.007,0.01,0.009,0.007,0.017,0.018,0.012,0.011
329,0,0.014,0.02,0.009,0.011,0.008,0.009,0.008,0.007,0.01,0.008,0.007,0.017,0.018,0.011,0.011
330,0,0.013,0.02,0.009,0.011,0.008,0.009,0.008,0.007,0.009,0.008,0.007,0.017,0.017,0.011,0.011
331,0,0.014,0.019,0.008,0.011,0.007,0.008,0.008,0.007,0.01,0.008,0.007,0.017,0.017,0.011,0.011
332,0,0.013,0.019,0.008,0.011,0.007,0.008,0.007,0.006,0.009,0.008,0.006,0.016,0.017,0.011,0.011
333,0,0.013,0.019,0.008,0.01,0.007,0.008,0.007,0.006,0.009,0.008,0.006,0.016,0.017,0.01,0.01
334,0,0.013,0.019,0.008,0.011,0.007,0.008,0.007,0.006,0.009,0.008,0.006,0.016,0.016,0.011,0.01
335,0,0.012,0.019,0.008,0.01,0.007,0.008,0.007,0.006,0.008,0.007,0.007,0.016,0.016,0.01,0.01
336,0,0.012,0.018,0.008,0.01,0.007,0.007,0.007,0.006,0.008,0.007,0.006,0.015,0.015,0.01,0.01
337,0,0.012,0.018,0.007,0.01,0.007,0.007,0.007,0.006,0.008,0.007,0.006,0.015,0.015,0.01,0.01
338,0.001,0.012,0.018,0.007,0.01,0.007,0.007,0.007,0.006,0.008,0.007,0.006,0.015,0.015,0.01,0.01
339,0.001,0.012,0.018,0.008,0.01,0.007,0.007,0.007,0.006,0.008,0.007,0.006,0.015,0.015,0.01,0.01
340,0.002,0.013,0.019,0.009,0.011,0.008,0.009,0.008,0.007,0.009,0.008,0.007,0.016,0.016,0.011,0.011
341,0,0.012,0.017,0.007,0.009,0.006,0.007,0.006,0.005,0.008,0.006,0.005,0.014,0.014,0.009,0.009
342,0,0.011,0.017,0.007,0.009,0.006,0.007,0.006,0.005,0.007,0.007,0.005,0.013,0.014,0.009,0.009
343,0,0.011,0.016,0.007,0.008,0.005,0.006,0.005,0.005,0.007,0.006,0.005,0.013,0.013,0.008,0.009
344,0,0.011,0.016,0.006,0.008,0.006,0.006,0.005,0.005,0.007,0.006,0.005,0.013,0.013,0.008,0.009
345,0.001,0.011,0.016,0.006,0.008,0.006,0.006,0.005,0.005,0.007,0.006,0.005,0.013,0.013,0.008,0.008
346,0,0.011,0.016,0.006,0.008,0.006,0.006,0.005,0.005,0.007,0.006,0.005,0.012,0.013,0.008,0.008
347,0,0.01,0.016,0.006,0.008,0.005,0.006,0.005,0.004,0.006,0.006,0.004,0.012,0.012,0.008,0.008
348,0,0.01,0.015,0.006,0.007,0.005,0.006,0.005,0.004,0.006,0.005,0.004,0.012,0.012,0.007,0.008
349,0,0.01,0.016,0.006,0.008,0.005,0.006,0.005,0.004,0.006,0.005,0.004,0.012,0.012,0.008,0.008
350,0.001,0.01,0.015,0.006,0.008,0.005,0.006,0.005,0.004,0.006,0.006,0.004,0.012,0.012,0.008,0.008
351,0,0.01,0.015,0.006,0.008,0.005,0.005,0.005,0.004,0.006,0.005,0.004,0.011,0.011,0.007,0.007
352,0,0.01,0.015,0.005,0.007,0.004,0.005,0.004,0.004,0.005,0.005,0.004,0.011,0.011,0.007,0.007
353,0,0.01,0.014,0.005,0.007,0.004,0.005,0.004,0.004,0.006,0.005,0.004,0.01,0.01,0.007,0.007
354,0,0.009,0.014,0.005,0.007,0.004,0.005,0.004,0.003,0.005,0.005,0.003,0.01,0.01,0.006,0.007
355,0,0.009,0.014,0.005,0.007,0.004,0.005,0.004,0.003,0.005,0.005,0.004,0.01,0.01,0.006,0.007
356,0,0.009,0.014,0.005,0.007,0.004,0.005,0.004,0.003,0.005,0.004,0.004,0.01,0.01,0.006,0.007
357,0,0.009,0.014,0.005,0.006,0.004,0.005,0.004,0.003,0.005,0.004,0.003,0.01,0.01,0.006,0.007
358,0,0.009,0.014,0.005,0.007,0.004,0.005,0.003,0.003,0.005,0.004,0.003,0.01,0.01,0.006,0.006
359,0,0.009,0.014,0.005,0.007,0.004,0.004,0.004,0.003,0.005,0.004,0.003,0.01,0.01,0.006,0.006
360,0,0.009,0.013,0.004,0.006,0.004,0.004,0.003,0.003,0.005,0.004,0.003,0.009,0.009,0.006,0.006
361,0,0.009,0.013,0.005,0.006,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.009,0.009,0.006,0.006
362,0,0.008,0.013,0.004,0.006,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.009,0.009,0.006,0.006
363,0,0.008,0.013,0.004,0.006,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.009,0.009,0.005,0.006
364,0,0.008,0.013,0.004,0.006,0.003,0.004,0.003,0.003,0.004,0.004,0.003,0.009,0.008,0.005,0.006
365,0,0.008,0.013,0.004,0.006,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.009,0.009,0.005,0.005
366,0,0.008,0.013,0.004,0.006,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.009,0.008,0.005,0.006
367,0,0.008,0.012,0.004,0.006,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.008,0.008,0.005,0.006
368,0,0.008,0.012,0.004,0.006,0.003,0.004,0.003,0.002,0.004,0.003,0.003,0.008,0.008,0.005,0.005
369,0,0.008,0.012,0.004,0.005,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.008,0.007,0.005,0.005
370,0,0.008,0.012,0.004,0.005,0.003,0.004,0.003,0.002,0.004,0.003,0.002,0.008,0.007,0.004,0.005
371,0,0.008,0.012,0.004,0.005,0.003,0.004,0.003,0.002,0.004,0.003,0.002,0.008,0.007,0.005,0.005
372,0,0.007,0.011,0.004,0.005,0.003,0.003,0.002,0.002,0.004,0.003,0.002,0.007,0.007,0.005,0.005
373,0,0.008,0.011,0.004,0.005,0.003,0.003,0.002,0.002,0.004,0.003,0.002,0.007,0.007,0.004,0.005
374,0,0.007,0.011,0.003,0.005,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.007,0.007,0.004,0.004
375,0,0.007,0.011,0.004,0.005,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.007,0.007,0.004,0.004
376,0,0.007,0.011,0.004,0.005,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.007,0.007,0.004,0.004
377,0,0.007,0.011,0.003,0.005,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.007,0.006,0.004,0.004
378,0,0.007,0.011,0.003,0.005,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.007,0.006,0.004,0.004
379,0,0.007,0.01,0.003,0.005,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.007,0.006,0.004,0.004
380,0,0.007,0.01,0.003,0.004,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.006,0.006,0.004,0.004
381,0,0.007,0.01,0.003,0.004,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.006,0.006,0.003,0.004
382,0,0.006,0.01,0.003,0.004,0.002,0.003,0.001,0.002,0.002,0.002,0.002,0.006,0.006,0.003,0.004
383,0,0.006,0.01,0.003,0.004,0.002,0.003,0.001,0.002,0.002,0.002,0.002,0.006,0.005,0.003,0.004
384,0,0.006,0.01,0.003,0.004,0.002,0.003,0.001,0.002,0.003,0.002,0.002,0.006,0.005,0.003,0.004
