Wavelenght,MilliQ,C100cove_1jun23_surf_r2,C50_1jun23_1_5m_r1,C50_1jun23_0_1m_r2,C301_4may23_0_1m_r1,C301cove_4may23_PD_r1,C50_4may23_0_1m_r1,C50_1jun23_0_1m_r1,C50_4may23_9m_r2,C100_1jun23_bot_r2,C301cove_4may23_0_1m_r2
442,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
443,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
444,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
445,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
446,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
447,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
448,-0.001,0.001,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
449,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
450,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
451,-0.001,0.002,0.002,0.002,0.003,0.01,0.003,0.001,0.003,0.001,0.004
452,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.004
453,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
454,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
455,-0.001,0.002,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
456,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
457,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
458,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
459,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
460,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
461,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
462,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
463,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
464,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
