Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
588.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
589.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
590.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.003
591.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
592.00	-0.000	0.000	0.001	0.001	0.001	0.000	0.003
593.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.003
594.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.002
595.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.003
596.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.003
597.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.003
598.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
599.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
600.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
601.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
602.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.002
603.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
604.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.002
605.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
606.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
607.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
608.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
609.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
610.00	-0.000	0.000	0.001	0.001	0.000	0.000	0.002
611.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
612.00	-0.000	-0.000	0.001	0.001	0.000	0.000	0.002
613.00	0.000	-0.000	0.001	0.001	0.000	0.000	0.002
